L8_ID	X	Y
72	-24.771321	86.011459
83	-36.626833	85.785994
89	-46.899409	85.403238
97	-18.972228	85.335374
105	-29.483865	85.206162
116	-39.143439	84.928352
120	-55.374526	84.898635
126	-14.678184	84.624031
132	-23.956224	84.568451
144	-47.593253	84.52468
148	-32.819822	84.377008
159	-40.922945	84.063049
163	-54.756447	84.020753
169	-19.628527	83.891246
173	-11.40631	83.889995
176	-82.474789	83.752288
177	-75.025121	83.752288
181	-27.685303	83.769792
188	-67.702116	83.646369
192	-48.088644	83.644894
196	-35.289904	83.532816
203	-60.734919	83.439759
207	-16.186801	83.186624
211	-42.245612	83.192589
215	-8.847429	83.140852
219	-54.290479	83.141737
223	-23.498677	83.12182
227	-78.749955	82.989478
230	-85.362356	82.941717
231	-72.137571	82.941715
238	-30.559032	82.949791
241	-91.796961	82.800375
242	-65.70297	82.800371
246	-48.460074	82.763856
251	59.68724	82.67835
254	-37.187262	82.678341
258	-59.597126	82.570934
262	-13.404664	82.462613
266	-20.056236	82.443927
270	-6.80023	82.381381
274	-26.583455	82.326372
278	65.767688	82.318234
280	-43.267703	82.318221
284	-53.9268	82.261462
287	-81.741729	82.203106
288	-75.758203	82.203104
292	92.342154	82.116752
294	-87.657801	82.116742
295	-69.842135	82.11674
297	55.333142	82.11465
299	-32.833166	82.114642
302	-93.380153	81.946892
303	-64.119783	81.946892
311	-48.750157	81.881417
312	61.189805	81.816293
315	-38.689818	81.81628
319	-17.197022	81.743855
323	-11.12064	81.724652
327	-58.694036	81.698874
329	45.728428	81.672032
331	-23.228468	81.672024
337	51.589637	81.51176
339	-29.089659	81.511752
343	-78.749967	81.439084
344	95.812927	81.399286
346	-84.187025	81.399277
347	-73.31291	81.399277
348	66.583186	81.440571
351	-44.083199	81.440558
353	21.845874	81.41722
358	-53.636256	81.379715
359	90.478053	81.281004
361	-89.521906	81.280994
362	-67.978032	81.280994
364	57.175669	81.268171
366	-34.67569	81.268162
369	-94.663272	81.08752
370	-62.836672	81.087518
373	16.363619	81.13763
376	37.297248	81.027194
378	-14.797288	81.027187
380	42.879744	80.99391
382	-20.379779	80.9939
384	31.718826	80.976542
386	-9.21887	80.976535
390	-48.985335	80.997335
391	62.411141	80.948214
394	-39.911159	80.948201
395	48.365276	80.877888
398	-25.865303	80.877876
401	-99.53876	80.823859
402	-57.961183	80.823859
404	26.245044	80.843031
409	98.747256	80.655555
411	-81.25271	80.655546
412	-76.24723	80.655543
414	53.662996	80.682473
416	-31.163018	80.682466
417	93.782662	80.58201
419	-86.2173	80.582003
420	-71.282643	80.582003
422	20.965377	80.629882
424	67.252262	80.55985
427	-44.752259	80.559838
431	-53.401075	80.496193
432	88.936968	80.436735
434	-91.062994	80.436727
435	-66.43695	80.436726
436	58.700365	80.41276
439	-36.200385	80.412749
443	-17.944007	80.297422
445	35.262632	80.298016
447	-12.762669	80.298008
451	15.950563	80.342021
454	-95.722362	80.223134
455	-61.77758	80.223129
457	45.578029	80.219513
459	-23.078062	80.219501
461	30.11519	80.220975
463	-7.615232	80.220967
467	-49.18333	80.111296
469	50.58797	80.066332
471	-28.087998	80.066322
472	63.42723	80.075007
475	-40.927232	80.074995
477	25.079609	80.067821
481	-100.143082	79.945894
482	-57.356868	79.945894
483	101.25	79.891028
484	-78.749976	79.891018
486	11.249973	79.981845
487	96.629106	79.856562
488	105.870893	79.856562
489	-83.370859	79.856554
490	-74.129083	79.856553
492	55.40784	79.841529
494	-32.907855	79.841521
496	20.223933	79.841679
498	92.073722	79.753921
500	-87.92625	79.753912
501	-69.573699	79.753912
504	-112.184297	79.676071
505	-45.315666	79.676067
506	87.644102	79.585304
508	-92.35586	79.585296
509	-65.144091	79.585292
512	-104.289711	79.610516
513	-53.210244	79.610514
515	38.346189	79.586724
517	-15.846224	79.586716
519	33.521116	79.55936
521	-11.021153	79.559353
525	-20.657513	79.541731
526	59.98689	79.549934
529	-37.486904	79.549923
532	15.601494	79.546965
535	28.74761	79.45995
538	47.89073	79.425578
541	-25.390758	79.425565
