lat	long	Carb30	Carb1m	Clay30	Sand30	Silt30	Bulkd30	Clay1m	Sand1m	Silt1m	Bulkd1m
50.167	-5.333	10.2673	15.9321	18.7056	41.9309	36.6083	1.0584	18.5668	42.2673	36.8111	1.1597
50.167	-5.167	11.0393	17.4806	15.3286	47.0141	35.7512	1.0188	15.3286	47.0141	35.7512	1.1389
50.333	-5	10.3283	15.7037	23.5302	33.7023	40.5674	1.0482	23.5302	33.7023	40.5674	1.1898
50.333	-4	10.4968	15.9389	23.7778	32.9532	41.2047	1.0247	23.7778	32.9532	41.2047	1.1371
50.333	-3.833	10.3604	15.9424	23.6606	32.5294	41.6244	1.0611	23.6606	32.5294	41.6244	1.1723
50.5	-4.833	11.5222	17.744	22.4393	35.2523	40.1402	0.9771	22.4393	35.2523	40.1402	1.0972
50.5	-4.667	13.865	23.1906	17.3818	44.0136	36.8773	0.9001	17.3818	44.0136	36.8773	1.0718
50.5	-4.5	13.6868	23.3821	16.6239	46.1697	35.4908	0.9284	16.6239	46.1697	35.4908	1.0821
50.5	-4.333	11.1756	17.3639	23.8584	31.5708	42.5479	1.0036	23.8584	31.5708	42.5479	1.1319
50.5	-4.167	11.2955	17.2036	23.2544	33.0219	41.7325	0.9805	23.2544	33.0219	41.7325	1.104
50.5	-4	21.4161	45.1828	12.92	55.965	29.535	0.7131	12.92	55.965	29.535	0.9474
50.5	-3.833	15.6245	28.0207	15.5146	47.6942	34.8981	0.8781	15.5146	47.6942	34.8981	1.0369
50.5	-3.667	9.5452	14.5324	24.6833	31.9321	41.6787	1.0675	24.6833	31.9321	41.6787	1.1805
50.667	-4.5	10.4946	16.2938	27.9321	31.2127	39.6606	1.0355	27.9321	31.2127	39.6606	1.2427
50.667	-4.333	10.2964	15.9823	27.6471	28.7014	42.3665	1.0642	27.6471	28.7014	42.3665	1.2543
50.667	-4.167	11.1737	17.506	27.6058	30.2067	40.9087	1.0154	27.6058	30.2067	40.9087	1.2123
50.667	-4	23.2178	54.3817	16.5441	51.3284	30.75	0.6743	16.5441	51.3284	30.75	0.914
50.667	-3.833	13.3286	20.8566	16.2851	50.0789	32.8553	0.9446	16.2851	50.0789	32.8553	1.1324
50.667	-3.667	10.5056	16.1571	25.7176	34.8287	39.037	1.0002	25.7176	34.8287	39.037	1.1808
50.667	-3.5	6.9325	10.7017	21.7323	47.3911	29.6535	1.1939	21.3317	47.6238	29.7079	1.3265
50.667	-2.5	8.7779	12.3827	38.3492	15.3228	41.8201	1.1026	38.3492	15.3228	41.8201	1.1749
50.667	-2.167	10.9038	17.7646	22.3433	53.2587	22.7313	0.9863	22.3433	53.2587	22.7313	1.2405
50.667	-1.333	8.4286	12.6182	32.6768	30.1364	30.3283	1.1671	32.6768	30.1364	30.3283	1.3239
50.833	-4.5	9.7352	14.5877	28.9619	29.4429	40.9619	1.0813	28.9619	29.4429	40.9619	1.3017
50.833	-4.333	9.5237	14.4525	30.9811	28.0943	39.9481	1.1164	30.9811	28.0943	39.9481	1.3392
50.833	-4.167	9.7175	14.9775	32.2939	26.1974	40.3553	1.0924	32.2939	26.1974	40.3553	1.3115
50.833	-4	9.6538	14.6648	28.5972	30.5417	39.5787	1.0974	28.5972	30.5417	39.5787	1.2953
50.833	-3.833	9.4632	14.2787	27.4272	31.9806	39.8252	1.107	27.4272	31.9806	39.8252	1.2673
50.833	-3.667	8.5229	12.9235	26.2844	34.04	38.9244	1.147	26.2844	34.04	38.9244	1.318
50.833	-3.5	7.9948	12.3109	22.0044	41.7325	35.2061	1.17	22.0044	41.7325	35.2061	1.3069
50.833	-3.333	9.4322	15.2175	29.6179	30.3113	38.6368	1.1476	29.6179	30.3113	38.6368	1.3174
50.833	-3.167	12.3394	20.9121	33.9463	26.0927	38.7463	1.0338	33.9463	26.0927	38.7463	1.1863
50.833	-3	10.5346	18.0682	38.9178	18.5525	41.0091	1.0881	38.9178	18.5525	41.0091	1.2342
50.833	-2.833	8.6277	13.8824	28.5921	23.6272	46.4868	1.1478	28.5921	23.6272	46.4868	1.3009
50.833	-2.667	10.2647	16.4767	39.3825	23.7465	35.7005	1.0787	39.3825	23.7465	35.7005	1.233
50.833	-2.5	9.6607	14.2051	38.9955	18.6682	39.7864	1.0946	38.9955	18.6682	39.7864	1.2022
50.833	-2.333	9.5012	13.4729	37.6579	19.4211	40.7763	1.0883	37.6579	19.4211	40.7763	1.1955
50.833	-2.167	9.0619	12.0494	27.1447	21.0658	43.8772	1.1046	27.1447	21.0658	43.8772	1.1491
50.833	-2	9.615	13.4795	24.7847	35.6124	32.5885	1.0979	24.7847	35.6124	32.5885	1.2243
50.833	-1.833	10.4495	15.3124	16.1491	62.9956	19.3904	1.029	16.1491	62.9956	19.3904	1.3011
50.833	-1.667	11.4758	17.4628	31.8289	36.8026	29.8158	0.9643	31.8289	36.8026	29.8158	1.2831
50.833	-1.5	10.0913	15.3276	29.3545	37.5273	30.0364	0.9927	29.3545	37.5273	30.0364	1.2969
50.833	-1.333	8.4623	12.8491	27.8571	27.2941	30.8117	1.0831	27.8571	27.2941	30.8117	1.3101
50.833	-1.167	8.2828	13.0952	31.7849	20.9012	33.2267	1.1013	31.8081	20.8953	33.2733	1.2898
50.833	-0.833	7.3312	11.0071	24.7952	11.419	53.419	1.1653	24.881	11.1429	53.6286	1.2747
50.833	0.167	9.4739	14.0587	34.9778	16.3733	41.4533	1.0838	34.9778	16.3733	41.4533	1.211
50.833	0	10.0857	14.0252	29.1977	18.0226	41.5763	1.0668	29.2373	17.9944	41.6384	1.1308
51	-4.167	9.7303	14.6476	24.8342	35.6798	38.2426	1.0905	23.8168	36.1675	38.1921	1.2409
51	-4	10.5771	16.16	25.3825	31.3041	41.7281	1.0625	25.3825	31.3041	41.7281	1.2195
51	-3.833	10.5886	16.2181	27.1228	29.9474	41.2588	1.0455	27.1228	29.9474	41.2588	1.2165
51	-3.667	11.7558	17.9694	27.0191	31.6411	39.9522	1.0337	27.0191	31.6411	39.9522	1.2297
51	-3.5	10.4107	15.6859	24.3062	33.0144	41.0622	1.0138	24.3062	33.0144	41.0622	1.1924
51	-3.333	8.9435	14.2286	24.2578	34.2	40.1067	1.1281	24.2578	34.2	40.1067	1.2683
51	-3.167	9.9383	16.7347	33.027	25.5856	39.973	1.1233	33.027	25.5856	39.973	1.2894
51	-3	11.0492	23.4628	42.7056	18.9206	37.1121	1.0766	42.7056	18.9206	37.1121	1.1991
51	-2.833	10.7861	24.1501	37.9725	18.7477	42.0963	1.0981	37.9725	18.7477	42.0963	1.1774
51	-2.667	9.6494	15.4407	35.9537	20.1898	42.6481	1.133	35.9537	20.1898	42.6481	1.2531
51	-2.5	10.3065	15.6604	36.6162	22.6111	39.6364	1.0763	36.6162	22.6111	39.6364	1.1891
51	-2.333	9.966	16.5306	46.8333	16.8148	34.8148	1.0793	46.8333	16.8148	34.8148	1.2293
51	-2.167	10.0307	15.3396	36.2778	21.0602	37.2639	1.0572	36.2778	21.0602	37.2639	1.1831
51	-2	9.6465	12.6883	28.5707	21.4899	44.1162	1.0808	28.5707	21.4899	44.1162	1.124
51	-1.833	8.5884	11.1187	24.5648	24.0231	43.6574	1.1122	24.5648	24.0231	43.6574	1.162
51	-1.667	9.9832	14.783	37.2361	23.2963	36.3565	1.0043	37.2361	23.2963	36.3565	1.2161
51	-1.5	10.2216	19.8888	35.3894	25.1058	35.6731	1.0318	35.3894	25.1058	35.6731	1.197
51	-1.333	10.2752	18.2514	33.0388	18.4951	38.9175	1.0404	33.0388	18.4951	38.9175	1.1502
51	-1.167	9.309	12.1908	30.7443	13.5068	40.5434	1.0744	30.7443	13.5068	40.5434	1.1089
51	-1	8.4806	12.0513	32.5822	15.0622	38.24	1.0939	32.5822	15.0622	38.24	1.1757
51	-0.833	8.6103	12.5164	21.1698	47.2642	27.75	1.0376	21.1698	47.2642	27.75	1.2499
51	-0.667	9.081	13.7635	28.1822	40.3956	27.8578	1.0107	28.1822	40.3956	27.8578	1.2652
51	-0.5	9.5576	15.422	37.6791	27.8791	32.7953	1.0883	37.6791	27.8791	32.7953	1.2997
51	-0.333	9.0444	14.5682	37.5507	15.9758	44.9565	1.1022	37.5507	15.9758	44.9565	1.3043
51	-0.167	7.8654	12.6041	27.7813	18.7232	52.1786	1.0874	27.7813	18.7232	52.1786	1.3151
51	0.167	7.5712	11.8017	24.2222	14.285	60.3188	1.0715	24.2222	14.285	60.3188	1.3202
51	0.333	7.7573	12.5028	30.1364	12.2955	56.3455	1.0743	30.1364	12.2955	56.3455	1.3107
51	0.5	7.916	12.8523	30.3409	12.2727	54.9045	1.0735	30.3409	12.2727	54.9045	1.31
51	0.667	8.5154	14.6891	35.0888	11.2744	51.9116	1.1369	35.2698	11.0326	52.1814	1.2999
51	0.833	9.2712	17.6332	37.2115	14.9717	46.5142	1.1008	36.6226	15	46.7028	1.2216
51	0	7.5303	11.7036	22.1802	16.3964	60.1577	1.0968	22.1802	16.3964	60.1577	1.3309
51.167	-4	11.7762	17.6076	22.2241	34.1839	41.7299	0.9655	22.2241	34.1839	41.7299	1.0628
51.167	-3.833	15.7163	27.1084	17.2074	42.3138	39.2234	0.8765	17.2074	42.3138	39.2234	1.0208
51.167	-3.667	14.8868	22.7883	17.4145	42.2694	39.1503	0.856	17.4145	42.2694	39.1503	1.0519
51.167	-3.5	10.6721	15.5145	21.7572	37.2254	39.7514	0.9926	21.7572	37.2254	39.7514	1.1554
51.167	-3	10.233	19.9433	44.6885	11.3027	41.2139	1.0669	44.2781	11.2486	41.6631	1.2005
51.167	-2.833	20.2226	62.2135	50.4105	11.3737	37.0737	0.7656	50.4105	11.3737	37.0737	0.8156
51.167	-2.667	11.6823	25.4862	41.2281	15.0789	42.4342	1.0243	41.2281	15.0789	42.4342	1.1339
51.167	-2.5	9.9525	15.4101	33.6172	20.7368	44.5167	1.059	33.6172	20.7368	44.5167	1.2039
51.167	-2.333	10.0776	15.8218	39.7588	20.1053	37.9781	1.0337	39.7588	20.1053	37.9781	1.1977
51.167	-2.167	9.8863	13.938	22.2193	21.3421	41.6404	1.0495	22.2193	21.3421	41.6404	1.0921
51.167	-2	9.7113	12.7556	21.8373	17.8086	46.0718	1.0603	21.8373	17.8086	46.0718	1.0475
51.167	-1.833	9.4168	11.8953	22.2193	16.3816	48.1667	1.0819	22.2193	16.3816	48.1667	1.0552
51.167	-1.667	9.7834	12.4589	24.4868	16.6096	47.6009	1.0568	24.4868	16.6096	47.6009	1.0655
51.167	-1.5	9.4163	15.6716	33.4115	15.5837	46.8708	1.069	33.4115	15.5837	46.8708	1.0951
51.167	-1.333	9.6956	13.6342	29.3684	17.6667	47.1623	1.0628	29.3684	17.6667	47.1623	1.0717
51.167	-1.167	8.2586	11.1809	36.6222	13.3511	42.6578	1.1106	36.6222	13.3511	42.6578	1.1338
51.167	-1	7.9286	11.5177	39.6818	15.298	42.2677	1.109	39.6818	15.298	42.2677	1.1915
51.167	-0.833	8.692	13.7288	26.1157	48.5	23.9537	1.0708	26.1157	48.5	23.9537	1.2929
51.167	-0.667	9.0443	13.8202	22.8824	51.3303	22.2624	1.0557	22.8824	51.3303	22.2624	1.3007
51.167	-0.5	9.2519	14.2089	30.4387	40.566	26.8491	1.0612	30.4387	40.566	26.8491	1.2816
51.167	-0.333	9.3286	14.8064	39.6116	24.3661	33.1696	1.0651	39.6116	24.3661	33.1696	1.2876
51.167	-0.167	8.6559	13.8916	35.6476	21.1952	41.3905	1.1262	35.6476	21.1952	41.3905	1.3201
51.167	0.167	8.3949	13.5257	31.5463	17.63	49.4317	1.1286	31.5463	17.63	49.4317	1.3218
51.167	0.333	8.2165	13.1886	29.4833	19.2392	50.0383	1.1185	29.4833	19.2392	50.0383	1.3233
51.167	0.5	8.5149	13.6618	33.1759	23.5556	41.8843	1.1234	33.1759	23.5556	41.8843	1.3151
51.167	0.667	8.899	14.1849	39.4072	20.7104	37.1991	1.1471	39.4072	20.7104	37.1991	1.3115
51.167	0.833	8.7732	13.7619	37.2207	21.6761	35.4554	1.134	37.2207	21.6761	35.4554	1.2832
51.167	1	8.9222	13.101	31.9032	19.9032	40.9539	1.0885	31.9032	19.9032	40.9539	1.2174
51.167	1.167	9.0046	12.385	29.9535	17.1721	45.3395	1.0944	29.9535	17.1721	45.3395	1.1741
51.167	0	8.1575	13.0064	31.0283	18.9764	48.6226	1.1351	31.0283	18.9764	48.6226	1.3307
51.333	-3.167	8.8942	13.9329	39.2667	8.2	51.2667	1.0789	39.2667	8.2	51.2667	1.1903
51.333	-2.833	11.3826	21.6745	39.3835	15.7767	43.5	0.9897	39.3835	15.7767	43.5	1.1348
51.333	-2.667	9.248	14.3888	31.2963	18.2685	49.2083	1.0751	31.2963	18.2685	49.2083	1.2063
51.333	-2.5	10.2654	15.4256	39.757	19.4206	39.8224	1.06	39.757	19.4206	39.8224	1.1653
51.333	-2.333	11.0815	15.9777	40.625	21.74	36.63	1.0357	40.625	21.74	36.63	1.1638
51.333	-2.167	9.9823	15.7393	40.3843	22.5972	33.5972	1.1095	40.3843	22.5972	33.5972	1.237
51.333	-2	9.2768	13.9781	28.7374	27.7778	30.5556	1.1346	28.7374	27.7778	30.5556	1.2412
51.333	-1.833	9.5685	13.4628	23.8657	24.8194	36.9815	1.1021	23.8657	24.8194	36.9815	1.134
51.333	-1.667	8.6976	12.0369	27.8611	24.1991	37.537	1.1057	27.8611	24.1991	37.537	1.1748
51.333	-1.5	8.699	11.855	32.4949	21.1414	41.5657	1.0976	32.4949	21.1414	41.5657	1.1714
51.333	-1.333	9.2507	13.1416	32.2222	23.713	36.6389	1.1016	32.2222	23.713	36.6389	1.2158
51.333	-1.167	9.1395	13.3594	35.5261	26.5071	34.128	1.1105	35.5261	26.5071	34.128	1.2538
51.333	-1	9.2472	15.6023	43.6429	23.8393	30.9643	1.1112	43.6429	23.8393	30.9643	1.2895
51.333	-0.833	10.2695	16.1324	24.1009	51.3596	23.2675	1.0649	24.1009	51.3596	23.2675	1.3158
51.333	-0.667	11.7404	20.5016	21.604	54.8465	22.2624	0.989	21.604	54.8465	22.2624	1.2627
51.333	-0.5	8.9702	14.8918	26.1163	47.8605	24.7116	1.138	26.1163	47.8605	24.7116	1.3315
51.333	-0.333	8.759	13.3686	29.2617	39.528	29.1869	1.1369	29.2617	39.528	29.1869	1.3124
51.333	-0.167	8.8306	12.7069	32.8265	29.4475	34.4292	1.1192	32.8265	29.4475	34.4292	1.253
51.333	0.167	8.4983	12.0686	25.5266	35.8841	33.1256	1.1258	25.5266	35.8841	33.1256	1.2438
51.333	0.333	8.539	12.4297	30.6161	28.1384	37.1741	1.0877	30.6161	28.1384	37.1741	1.2327
51.333	0.5	8.5233	12.3646	29.0625	28.5962	36.3654	1.1156	29.0625	28.5962	36.3654	1.2447
51.333	0.667	8.6009	12.8605	35.3026	13.9896	37.2513	1.1079	35.3026	13.9896	37.2513	1.253
51.333	0.833	8.9772	13.7697	39.8356	11.5138	36.5616	1.103	39.8356	11.5138	36.5616	1.2587
51.333	1	9.2192	14.023	42.305	10.8652	33.6241	1.0037	42.305	10.8652	33.6241	1.2599
