LAT	       LONG	     CARB1M_AVG	CARB30_AVG	ORGC1M_AVG	ORGC30C_AV	CLAY30_AVG	SAND30_AVG	SILT30_AVG	BULKD30_AV	CLAY1M_AVG	SAND1M_AVG	SILT1M_AVG	BULKD1M_AV
58.750	-2.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.417	-4.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.417	-4.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.417	-4.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.417	-3.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.417	-3.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.417	-3.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.417	-3.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.417	-3.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.417	-3.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.250	-6.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.250	-4.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.250	-4.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.250	-4.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.250	-4.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.250	-4.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.250	-4.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.250	-3.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.250	-3.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.250	-3.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.250	-3.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.083	-6.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.083	-6.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.083	-6.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.083	-5.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.083	-4.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.083	-4.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.083	-4.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.083	-4.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.083	-4.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.083	-4.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.083	-3.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
58.083	-3.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.917	-6.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.917	-6.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.917	-5.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.917	-5.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.917	-4.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.917	-4.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.917	-4.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.917	-4.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.917	-4.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.917	-4.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.750	-5.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.750	-5.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.750	-5.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.750	-4.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.750	-4.750	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.750	-4.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.750	-4.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.750	-4.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.750	-4.083	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.750	-3.917	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.583	-5.583	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.583	-5.417	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
57.583	-5.250	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000	999.0000
