Lat	Long	Id	Country_Avg	Country_Cnt	Bulkd30_Avg	Bulkd1m_Avg	Car30c_Avg	Car1m_Avg	Clay30_Avg	Sand30_Avg	Silt30_Avg	Clay1m_Avg	Sand1m_Avg	Silt1m_Avg
50.083	-5.25	1	2	33	1.1771	1.4452	7.0124	3.3953	17.9525	53.7954	28.2522	17.9525	53.7954	28.2522
50.083	-5.083	2	2	174	0.503	0.8304	33.2545	22.4728	5.714	72.1033	21.8418	5.714	72.1033	21.8418
50.25	-4.917	3	2	180	0.3372	0.6602	40.2502	29.458	6.2198	73.2899	20.4903	6.2198	73.2899	20.4903
50.25	-3.917	4	2	173	0.366	0.6864	39.923	29.0358	6.3495	73.7214	19.9542	6.3495	73.7214	19.9542
50.25	-3.75	5	2	167	0.2673	0.566	44.8069	34.4897	6.4173	57.3959	20.3596	6.4173	57.3959	20.3596
50.417	-4.75	6	2	87	0.1963	0.3612	48.6418	43.4366	6.2649	22.2021	20.3332	6.2649	22.2021	20.3332
50.417	-4.583	7	2	79	0.2601	0.4945	46.0163	38.3884	10.7524	61.6474	25.8253	10.7524	61.6474	25.8253
50.417	-4.417	8	2	92	0.3617	0.5949	40.8847	34.2309	14.738	53.6249	31.3166	14.738	53.6249	31.3166
50.417	-4.25	9	2	105	0.6673	0.8716	28.7926	24.3774	16.8925	50.8064	32.1376	16.8925	50.8064	32.1376
50.417	-4.083	10	2	60	0.9596	1.1614	16.881	13.5516	17.816	49.26	32.8567	17.816	49.26	32.8567
50.417	-3.917	11	2	41	0.5553	0.7906	32.9201	27.1052	8.7942	63.5076	27.6982	8.7942	63.5076	27.6982
50.417	-3.75	12	2	183	0.5486	0.8629	32.7773	22.1456	6.5744	69.8442	23.2516	6.5744	69.8442	23.2516
50.417	-3.583	13	2	166	0.4635	0.7422	35.7223	27.0827	5.9548	72.3384	21.672	5.9548	72.3384	21.672
50.583	-4.417	14	2	168	0.313	0.6013	42.1421	32.3889	6.4313	73.0095	20.5592	6.4313	73.0095	20.5592
50.583	-4.25	15	2	169	0.3726	0.6983	39.4474	28.588	6.5627	72.538	20.8992	6.5627	72.538	20.8992
50.583	-4.083	16	2	143	0.2871	0.577	43.5456	33.6853	6.2107	73.214	20.5753	6.2107	73.214	20.5753
50.583	-3.917	17	2	149	0.2739	0.5249	43.8636	35.5697	6.4021	73.1959	20.4021	6.4021	73.1959	20.4021
50.583	-3.75	18	2	184	0.3732	0.7406	39.5468	27.0269	6.6143	66.6703	20.5457	6.6143	66.6703	20.5457
50.583	-3.583	19	2	145	0.2986	0.5689	43.2378	34.3723	7.1185	52.1353	21.1874	7.1185	52.1353	21.1874
50.583	-3.417	20	2	149	0.2317	0.5374	46.7262	36.2052	10.0725	45.9134	24.9437	10.0725	45.9134	24.9437
50.583	-2.417	21	2	69	0.6504	0.9545	29.3942	20.131	13.3016	54.1754	32.3762	13.3016	54.1754	32.3762
50.583	-2.083	22	2	182	0.3641	0.6451	40.4308	30.3165	5.5963	75.1741	19.2285	5.5963	75.1741	19.2285
50.583	-1.25	23	2	182	0.3932	0.6288	38.9355	30.7658	5.6826	72.4617	21.8521	5.6826	72.4617	21.8521
50.75	-4.417	24	2	117	0.4342	0.6464	36.2951	29.2713	5.7604	68.6157	25.6239	5.7604	68.6157	25.6239
50.75	-4.25	25	2	185	0.4759	0.7352	35.9142	26.8244	6.2934	71.2476	22.4904	6.2934	71.2476	22.4904
50.75	-4.083	26	2	162	0.4019	0.6386	40.1727	32.0479	8.6597	68.0442	22.9596	8.6597	68.0442	22.9596
50.75	-3.917	27	2	159	0.3035	0.5814	42.816	33.6163	6.549	72.7102	20.6754	6.549	72.7102	20.6754
50.75	-3.75	28	2	173	0.3383	0.6503	40.8663	30.4213	6.432	73.2084	20.3629	6.432	73.2084	20.3629
50.75	-3.583	29	2	172	0.4419	0.7755	37.3564	26.0387	6.5118	72.9564	20.5318	6.5118	72.9564	20.5318
50.75	-3.417	30	2	187	0.3854	0.7145	38.8885	28.0057	6.3947	59.5903	20.1913	6.3947	59.5903	20.1913
50.75	-3.25	31	2	184	0.4258	0.7533	37.5091	26.7277	7.6824	67.1032	21.6645	7.6824	67.1032	21.6645
50.75	-3.083	32	2	167	0.4372	0.8255	37.6	24.5464	9.8696	65.9786	24.1994	9.8696	65.9786	24.1994
50.75	-2.917	33	2	83	0.495	0.8669	34.3445	22.7262	7.1689	46.5641	19.6253	7.1689	46.5641	19.6253
50.75	-2.75	34	2	144	0.413	0.6789	37.3707	28.3516	5.7117	71.7549	22.5224	5.7117	71.7549	22.5224
50.75	-2.583	35	2	64	0.416	0.6741	37.2912	28.3195	5.8609	70.1872	23.9519	5.8609	70.1872	23.9519
50.75	-2.417	36	2	149	0.6663	0.8432	29.4713	22.9177	4.0485	73.2526	22.7406	4.0485	73.2526	22.7406
50.75	-2.25	37	2	174	0.4312	0.7384	36.6656	26.4521	6.4502	72.3536	21.2015	6.4502	72.3536	21.2015
50.75	-2.083	38	2	183	0.4496	0.7538	36.1231	26.4232	6.1274	73.1175	20.6618	6.1274	73.1175	20.6618
50.75	-1.917	39	2	180	0.4931	0.8173	34.4885	24.1477	6.3555	72.2582	21.3863	6.3555	72.2582	21.3863
50.75	-1.75	40	2	178	0.5285	0.851	33.3345	23.0185	6.845	72.4389	20.6748	6.845	72.4389	20.6748
50.75	-1.583	41	2	183	0.5325	0.8527	32.9934	22.7991	6.7662	69.5926	20.1962	6.7662	69.5926	20.1962
50.75	-1.417	42	2	169	0.5559	0.8988	31.6373	20.7274	6.5746	64.1701	20.3673	6.5746	64.1701	20.3673
50.75	-1.25	43	2	154	0.851	1.1935	17.1012	9.0722	7.8871	71.9055	20.2798	7.8871	71.9055	20.2798
50.75	-1.083	44	2	186	0.5944	0.8756	30.2757	21.1391	5.188	73.6007	21.148	5.188	73.6007	21.148
50.75	-0.75	45	2	175	0.6126	0.8857	30.143	21.4178	5.8136	75.7473	18.4487	5.8136	75.7473	18.4487
50.75	0.083	46	2	186	0.5473	0.8788	31.6699	21.106	6.1878	72.3021	21.4109	6.1878	72.3021	21.4109
50.75	0.25	47	2	170	0.6281	0.9437	28.0882	18.4176	5.7071	72.4929	21.7181	5.7071	72.4929	21.7181
50.917	-4.083	48	2	173	0.4101	0.7454	38.2457	26.988	6.7513	68.654	21.2686	6.7513	68.654	21.2686
