 -2.500  -62.500
1901     0.14    0.67    0.70    0.70    0.69    0.68    0.67    0.65    0.62    0.62    0.61    0.60       0.6
1902     1.09    1.35    1.34    1.31    1.29    1.26    1.22    1.14    1.10    1.07    1.04    1.19       1.2
1903     1.94    1.96    1.92    1.87    1.82    1.76    1.67    1.56    1.51    1.45    1.40    2.04       1.7
1904     2.47    2.41    2.35    2.28    2.20    2.11    1.96    1.87    1.80    1.72    1.82    2.82       2.2
1905     2.85    2.78    2.69    2.61    2.51    2.38    2.21    2.13    2.04    1.96    2.65    3.27       2.5
1906     3.20    3.11    3.01    2.91    2.79    2.61    2.48    2.38    2.29    2.32    3.56    3.63       2.9
1907     3.53    3.43    3.31    3.19    3.05    2.84    2.73    2.63    2.52    3.21    4.06    3.97       3.2
1908     3.85    3.73    3.61    3.47    3.26    3.10    2.98    2.86    2.83    4.27    4.41    4.29       3.6
1909     4.16    4.02    3.88    3.72    3.48    3.35    3.21    3.08    3.75    4.84    4.74    4.60       3.9
1910     4.45    4.30    4.14    3.92    3.72    3.58    3.44    3.34    4.94    5.19    5.05    4.89       4.2
1911     4.74    4.57    4.39    4.12    3.96    3.80    3.65    4.25    5.61    5.50    5.34    5.17       4.6
1912     5.00    4.82    4.58    4.35    4.18    4.01    3.86    5.55    5.96    5.79    5.62    5.44       4.9
1913     5.25    5.05    4.76    4.57    4.39    4.21    4.73    6.37    6.27    6.08    5.90    5.70       5.3
1914     5.50    5.24    4.98    4.79    4.60    4.42    6.09    6.71    6.52    6.32    6.11    5.90       5.6
1915     5.68    5.37    5.15    4.95    4.75    5.13    6.96    6.88    6.67    6.46    6.25    6.02       5.9
1916     5.75    5.46    5.25    5.04    4.83    6.37    7.17    6.96    6.74    6.52    6.29    6.05       6.0
1917     5.73    5.49    5.27    5.05    5.28    7.23    7.18    6.95    6.73    6.50    6.26    5.99       6.1
1918     5.68    5.46    5.23    5.02    6.38    7.36    7.14    6.91    6.68    6.45    6.20    5.87       6.2
1919     5.62    5.39    5.17    5.26    7.28    7.28    7.05    6.82    6.59    6.35    6.08    5.76       6.2
1920     5.53    5.30    5.08    6.26    7.40    7.19    6.96    6.73    6.49    6.24    5.92    5.66       6.2
1909     5.43    5.20    5.19    7.24    7.31    7.08    6.85    6.62    6.38    6.11    5.78    5.55       6.2
1902     5.32    5.10    6.11    7.41    7.21    6.98    6.75    6.51    6.26    5.95    5.67    5.44       6.2
1916     5.22    5.11    7.16    7.33    7.10    6.86    6.63    6.39    6.13    5.79    5.56    5.33       6.2
1912     5.11    5.94    7.39    7.21    6.98    6.75    6.51    6.26    5.96    5.68    5.45    5.22       6.2
1919     5.05    7.04    7.32    7.10    6.86    6.63    6.39    6.14    5.80    5.56    5.34    5.11       6.2
1907     5.78    7.38    7.22    6.98    6.75    6.52    6.27    5.97    5.68    5.45    5.23    5.02       6.2
1914     6.90    7.34    7.11    6.88    6.64    6.40    6.15    5.81    5.57    5.34    5.12    5.63       6.2
1901     7.36    7.22    6.99    6.76    6.52    6.28    5.98    5.68    5.46    5.23    5.02    6.72       6.3
1915     7.34    7.11    6.88    6.65    6.41    6.16    5.82    5.57    5.35    5.12    5.49    7.33       6.3
1913     7.23    7.00    6.77    6.53    6.28    6.00    5.69    5.46    5.24    5.02    6.55    7.34       6.3
1906     7.12    6.89    6.65    6.41    6.16    5.83    5.58    5.35    5.13    5.35    7.30    7.24       6.3
1911     7.01    6.78    6.55    6.30    6.02    5.70    5.47    5.25    5.02    6.38    7.35    7.13       6.2
1920     6.90    6.67    6.43    6.18    5.85    5.59    5.36    5.14    5.23    7.24    7.24    7.01       6.2
1908     6.78    6.55    6.30    6.03    5.70    5.48    5.25    5.03    6.21    7.35    7.14    6.91       6.2
1910     6.68    6.44    6.19    5.86    5.60    5.37    5.15    5.13    7.18    7.26    7.03    6.80       6.2
1904     6.57    6.32    6.05    5.72    5.49    5.27    5.04    6.05    7.35    7.15    6.92    6.69       6.2
1905     6.45    6.20    5.89    5.61    5.39    5.16    5.06    7.10    7.27    7.04    6.81    6.58       6.2
1918     6.34    6.08    5.74    5.51    5.29    5.06    5.90    7.35    7.17    6.94    6.71    6.47       6.2
1917     6.23    5.92    5.63    5.41    5.18    5.01    7.00    7.29    7.06    6.83    6.60    6.36       6.2
1903     6.10    5.76    5.53    5.30    5.08    5.76    7.36    7.19    6.96    6.73    6.50    6.25       6.2
